program,mode,approx_type,N,dist,K,seed,tempo,cycles,instructions,cache_references,cache_misses,checksum,error_abs_mean,error_rel_mean,rmse,error_max
conv_linear,exact,none,512,0,3,12346,0.007083,41621748,61213378,370511,113424,130211.780774,0,0,0,0
conv_malloc,exact,none,512,0,3,12346,0.003529,29719085,50401840,456608,112582,130211.780774,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12346,0.005652,36355497,72602295,412690,129647,130211.782227,0.000000021086,0.000000042024,0.000000027181,0.000000131879
conv_linear_approx,approx,skip_kernel,512,0,3,12346,0.003335,29812225,52591296,339956,110075,130215.077653,0.117391144830,0.247375745391,0.146331503597,0.534189106842
conv_malloc_approx,approx,float,512,0,3,12346,0.005047,34459266,62326209,592486,140502,130211.782227,0.000000021086,0.000000042024,0.000000027181,0.000000131879
conv_malloc_approx,approx,skip_kernel,512,0,3,12346,0.003069,28418354,45422530,487194,111059,130215.077653,0.117391144830,0.247375745391,0.146331503597,0.534189106842
conv_linear,exact,none,512,0,3,12347,0.004382,32780586,60952593,360515,110267,129905.526715,0,0,0,0
conv_malloc,exact,none,512,0,3,12347,0.003464,29368366,50231183,432183,109098,129905.526715,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12347,0.005620,36767205,72546484,408435,129292,129905.526058,0.000000018043,0.000000036236,0.000000023209,0.000000123738
conv_linear_approx,approx,skip_kernel,512,0,3,12347,0.003321,29768497,52599145,341871,105096,129903.898824,0.108552117061,0.230618740151,0.134839541975,0.486096267500
conv_malloc_approx,approx,float,512,0,3,12347,0.005009,34288796,62204453,582208,141442,129905.526058,0.000000018043,0.000000036236,0.000000023209,0.000000123738
conv_malloc_approx,approx,skip_kernel,512,0,3,12347,0.003052,28346110,45370494,483405,103381,129903.898824,0.108552117061,0.230618740151,0.134839541975,0.486096267500
conv_linear,exact,none,512,0,3,12348,0.004380,32770206,60878743,355770,109972,130234.615069,0,0,0,0
conv_malloc,exact,none,512,0,3,12348,0.003481,29420540,50316635,436830,108582,130234.615069,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12348,0.005645,36361647,72578407,405969,130929,130234.614452,0.000000018055,0.000000036011,0.000000023113,0.000000115041
conv_linear_approx,approx,skip_kernel,512,0,3,12348,0.003323,29834499,52639320,340991,106628,130237.146996,0.103966197584,0.217474009875,0.129597728136,0.504525746272
conv_malloc_approx,approx,float,512,0,3,12348,0.005105,34631801,62266302,596845,162551,130234.614452,0.000000018055,0.000000036011,0.000000023113,0.000000115041
conv_malloc_approx,approx,skip_kernel,512,0,3,12348,0.002681,28523521,45389390,478474,107554,130237.146996,0.103966197584,0.217474009875,0.129597728136,0.504525746272
conv_linear,exact,none,512,0,3,12349,0.003862,32731844,60933675,355557,108751,129990.717062,0,0,0,0
conv_malloc,exact,none,512,0,3,12349,0.003091,29506778,50336168,443676,113327,129990.717062,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12349,0.004930,45268297,72637125,409228,129816,129990.717329,0.000000017609,0.000000035223,0.000000022494,0.000000117308
conv_linear_approx,approx,skip_kernel,512,0,3,12349,0.002919,29922137,52619178,349163,108720,129988.515070,0.094158160318,0.197396497469,0.117483482396,0.470415923881
conv_malloc_approx,approx,float,512,0,3,12349,0.004390,34463557,62240773,586191,141636,129990.717329,0.000000017609,0.000000035223,0.000000022494,0.000000117308
conv_malloc_approx,approx,skip_kernel,512,0,3,12349,0.002734,28682745,45432521,486875,106273,129988.515070,0.094158160318,0.197396497469,0.117483482396,0.470415923881
conv_linear,exact,none,512,0,3,12350,0.004148,32553244,60881412,358439,107169,130080.196185,0,0,0,0
conv_malloc,exact,none,512,0,3,12350,0.003383,29516219,50298848,439920,108361,130080.196185,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12350,0.005419,36234596,72554993,404273,127329,130080.195095,0.000000018144,0.000000036279,0.000000023284,0.000000115653
conv_linear_approx,approx,skip_kernel,512,0,3,12350,0.003244,29958177,52665722,346017,106875,130077.853376,0.123141550729,0.260756491109,0.153080209347,0.638121686898
conv_malloc_approx,approx,float,512,0,3,12350,0.004899,34406298,62305899,584967,147684,130080.195095,0.000000018144,0.000000036279,0.000000023284,0.000000115653
conv_malloc_approx,approx,skip_kernel,512,0,3,12350,0.003739,28384015,45422225,485469,103197,130077.853376,0.123141550729,0.260756491109,0.153080209347,0.638121686898
conv_linear,exact,none,512,0,3,12351,0.005302,32681879,60891763,360606,107553,130129.817035,0,0,0,0
conv_malloc,exact,none,512,0,3,12351,0.004233,29491004,50334493,451330,111355,130129.817035,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12351,0.006856,36300600,72540785,413701,131390,130129.816792,0.000000018981,0.000000037855,0.000000024289,0.000000128420
conv_linear_approx,approx,skip_kernel,512,0,3,12351,0.002685,29982537,52579959,343621,108941,130122.788059,0.085254214449,0.177630283624,0.106542164651,0.441591170975
conv_malloc_approx,approx,float,512,0,3,12351,0.004176,35065081,62341384,583373,182963,130129.816792,0.000000018981,0.000000037855,0.000000024289,0.000000128420
conv_malloc_approx,approx,skip_kernel,512,0,3,12351,0.002461,28505356,45411429,480603,104459,130122.788059,0.085254214449,0.177630283624,0.106542164651,0.441591170975
conv_linear,exact,none,512,0,3,12352,0.003458,32662247,60864230,363552,109141,129994.510875,0,0,0,0
conv_malloc,exact,none,512,0,3,12352,0.002783,29584986,50269515,442391,111926,129994.510875,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12352,0.004511,36390702,72666556,398821,129498,129994.509875,0.000000020286,0.000000040450,0.000000026106,0.000000135333
conv_linear_approx,approx,skip_kernel,512,0,3,12352,0.002677,29922178,52662908,344418,106717,129984.830628,0.125057241871,0.264779195426,0.155899959787,0.637138945943
conv_malloc_approx,approx,float,512,0,3,12352,0.004038,34443429,62293869,584782,140160,129994.509875,0.000000020286,0.000000040450,0.000000026106,0.000000135333
conv_malloc_approx,approx,skip_kernel,512,0,3,12352,0.002450,28436141,45351198,477036,107328,129984.830628,0.125057241871,0.264779195426,0.155899959787,0.637138945943
conv_linear,exact,none,512,0,3,12353,0.003446,32630054,60897970,362162,106081,130043.274995,0,0,0,0
conv_malloc,exact,none,512,0,3,12353,0.002798,29685091,50381518,458573,111040,130043.274995,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12353,0.004513,36254334,72469388,393562,129612,130043.274789,0.000000022290,0.000000044235,0.000000029050,0.000000161874
conv_linear_approx,approx,skip_kernel,512,0,3,12353,0.002662,29877489,52542200,334423,107653,130038.738183,0.128199283436,0.272213083939,0.158751619016,0.543617236737
conv_malloc_approx,approx,float,512,0,3,12353,0.004018,34405508,62242145,573437,134448,130043.274789,0.000000022290,0.000000044235,0.000000029050,0.000000161874
conv_malloc_approx,approx,skip_kernel,512,0,3,12353,0.002470,28469791,45387760,477347,102921,130038.738183,0.128199283436,0.272213083939,0.158751619016,0.543617236737
conv_linear,exact,none,512,0,3,12354,0.003491,32735902,60859297,353120,108920,130198.443531,0,0,0,0
conv_malloc,exact,none,512,0,3,12354,0.002790,29425239,50274623,430388,109814,130198.443531,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12354,0.004505,36370949,72618965,411711,128748,130198.443660,0.000000019608,0.000000039161,0.000000025344,0.000000160489
conv_linear_approx,approx,skip_kernel,512,0,3,12354,0.002686,29971937,52603024,334209,109746,130197.332609,0.135932264077,0.293044564157,0.169387527365,0.631471678219
conv_malloc_approx,approx,float,512,0,3,12354,0.004107,34618281,62374863,585752,143492,130198.443660,0.000000019608,0.000000039161,0.000000025344,0.000000160489
conv_malloc_approx,approx,skip_kernel,512,0,3,12354,0.002446,28496516,45345981,479749,104716,130197.332609,0.135932264077,0.293044564157,0.169387527365,0.631471678219
conv_linear,exact,none,512,0,3,12355,0.003757,32655148,60901932,368518,109192,130022.049765,0,0,0,0
conv_malloc,exact,none,512,0,3,12355,0.003037,29482257,50287645,438922,109681,130022.049765,0,0,0,0
conv_linear_approx,approx,float,512,0,3,12355,0.004924,36274156,72541846,399257,127732,130022.049575,0.000000020374,0.000000040525,0.000000026417,0.000000142170
conv_linear_approx,approx,skip_kernel,512,0,3,12355,0.002931,29942249,52537536,345981,106310,130019.810667,0.122125068606,0.256751261719,0.150710239113,0.530033605639
conv_malloc_approx,approx,float,512,0,3,12355,0.004417,34459594,62316738,588492,134036,130022.049575,0.000000020374,0.000000040525,0.000000026417,0.000000142170
conv_malloc_approx,approx,skip_kernel,512,0,3,12355,0.002691,28495441,45437014,478444,101966,130019.810667,0.122125068606,0.256751261719,0.150710239113,0.530033605639
conv_linear,exact,none,512,0,5,12346,0.006790,42289418,87495186,397282,108786,129195.594560,0,0,0,0
conv_malloc,exact,none,512,0,5,12346,0.006604,40915792,73334807,453006,114215,129195.594560,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12346,0.007500,44580743,95189365,417743,131469,129195.594210,0.000000029205,0.000000058218,0.000000037357,0.000000194264
conv_linear_approx,approx,skip_kernel,512,0,5,12346,0.004213,34100441,68649651,351316,110218,129194.428900,0.084469160202,0.172139367537,0.105677986567,0.459842918674
conv_malloc_approx,approx,float,512,0,5,12346,0.007292,43624483,84517730,592087,155596,129195.594210,0.000000029205,0.000000058218,0.000000037357,0.000000194264
conv_malloc_approx,approx,skip_kernel,512,0,5,12346,0.003893,32343938,60482547,477718,103665,129194.428900,0.084469160202,0.172139367537,0.105677986567,0.459842918674
conv_linear,exact,none,512,0,5,12347,0.006817,42442795,87523055,392077,110954,128884.291522,0,0,0,0
conv_malloc,exact,none,512,0,5,12347,0.006571,40778368,73301159,442887,108654,128884.291522,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12347,0.007474,44446785,95231926,405515,126619,128884.292961,0.000000028157,0.000000056149,0.000000036069,0.000000196633
conv_linear_approx,approx,skip_kernel,512,0,5,12347,0.004220,34102731,68637176,355017,107778,128886.794142,0.071128516966,0.145048758245,0.089427229079,0.376246278122
conv_malloc_approx,approx,float,512,0,5,12347,0.007258,43436224,84508255,589333,134135,128884.292961,0.000000028157,0.000000056149,0.000000036069,0.000000196633
conv_malloc_approx,approx,skip_kernel,512,0,5,12347,0.003892,32367178,60447734,480658,106505,128886.794142,0.071128516966,0.145048758245,0.089427229079,0.376246278122
conv_linear,exact,none,512,0,5,12348,0.006824,42422900,87508336,397847,111596,129218.468253,0,0,0,0
conv_malloc,exact,none,512,0,5,12348,0.006606,40977057,73383967,455992,121897,129218.468253,0,0,0,0
conv_linear_approx,approx,float,512,0,5,12348,0.007565,44767059,95189871,418345,142861,129218.468303,0.000000029859,0.000000059654,0.000000038080,0.000000193136
conv_linear_approx,approx,skip_kernel,512,0,5,12348,0.004219,34078667,68682800,363074,107702,129219.942652,0.069252684648,0.141178890740,0.086972144165,0.362774327660
conv_malloc_approx,approx,float,512,0,5,12348,0.007245,43523894,84467502,594314,136818,129218.468303,0.000000029859,0.000000059654,0.000000038080,0.000000193136
