program_base,program,mode,approx_type,N,dist,K,tempo_mean,tempo_std,ipc_mean,cache_miss_rate_mean,cache_misses_mean,checksum_mean,error_abs_mean,error_rel_mean,rmse_mean,error_max_mean,parameter_type,kernel_size,block_size,tempo_exact_mean,speedup_vs_exact
conv_linear,conv_linear,exact,none,512,0,3,0.0043309,0.0011232505854784933,1.8236703176286462,0.3022071834682004,109047.0,130081.09320060001,0.0,0.0,0.0,0.0,K,3.0,,0.0043309,1.0
conv_linear,conv_linear,exact,none,512,0,5,0.0063694,0.0006122842840090253,2.0590555220279234,0.2822273378282979,110279.1,129063.5772176,0.0,0.0,0.0,0.0,K,5.0,,0.0063694,1.0
conv_linear,conv_linear,exact,none,512,0,7,0.0105232,0.0006226784081690962,2.113549060824298,0.25545859572891905,112154.0,128050.34873569998,0.0,0.0,0.0,0.0,K,7.0,,0.0105232,1.0
conv_linear,conv_linear,exact,none,512,1,3,0.0032836,0.00020926973556207847,1.9798265207046168,0.31244980810915207,115053.9,-123.77265480000001,0.0,0.0,0.0,0.0,K,3.0,,0.0032836,1.0
conv_linear,conv_linear,exact,none,512,1,5,0.0057361999999999995,0.000342154545977886,2.0878684140915373,0.29114556768387984,116357.3,-129.18992839999999,0.0,0.0,0.0,0.0,K,5.0,,0.0057361999999999995,1.0
conv_linear,conv_linear,exact,none,512,1,7,0.0101189,1.4169215456992014e-05,2.1340216864014243,0.2564648402060363,114957.0,-135.16545150000002,0.0,0.0,0.0,0.0,K,7.0,,0.0101189,1.0
conv_linear,conv_linear,exact,none,512,2,3,0.0035909999999999996,0.0002993426130707086,2.05875573820186,0.3067275293002983,109559.8,260308.3805703,0.0,0.0,0.0,0.0,K,3.0,,0.0035909999999999996,1.0
conv_linear,conv_linear,exact,none,512,2,5,0.006239,0.0005213184141087756,2.1432658781209044,0.28242491639300976,111234.3,258278.5394574,0.0,0.0,0.0,0.0,K,5.0,,0.006239,1.0
conv_linear,conv_linear,exact,none,512,2,7,0.0102655,0.0002962323599999016,2.235308647854473,0.25623819323228053,112614.2,256252.9558144,0.0,0.0,0.0,0.0,K,7.0,,0.0102655,1.0
conv_linear,conv_linear,exact,none,1024,0,3,0.0125355,7.854262819924273e-05,1.894130089863581,0.5306420719234664,605446.5,522340.1653752,0.0,0.0,0.0,0.0,K,3.0,,0.0125355,1.0
conv_linear,conv_linear,exact,none,1024,0,5,0.022334899999999998,0.00024054957908921842,2.096031457597218,0.47033197058511556,607534.0,520300.7628379,0.0,0.0,0.0,0.0,K,5.0,,0.022334899999999998,1.0
conv_linear,conv_linear,exact,none,1024,0,7,0.0404228,0.00035589005792987843,2.1656663559454707,0.40320668304147683,632821.8,518263.7159217,0.0,0.0,0.0,0.0,K,7.0,,0.0404228,1.0
conv_linear,conv_linear,exact,none,1024,1,3,0.0122327,7.517246836442156e-05,2.0004039407662977,0.5352152086048685,620876.2,-559.3560716,0.0,0.0,0.0,0.0,K,3.0,,0.0122327,1.0
conv_linear,conv_linear,exact,none,1024,1,5,0.022153,0.0002638905497023762,2.1047171740963813,0.4626348940592103,611553.0,-567.7690923,0.0,0.0,0.0,0.0,K,5.0,,0.022153,1.0
conv_linear,conv_linear,exact,none,1024,1,7,0.040472999999999995,0.0004489253835549956,2.1516749122772043,0.40691133589533185,643542.1,-577.7457032,0.0,0.0,0.0,0.0,K,7.0,,0.040472999999999995,1.0
conv_linear,conv_linear,exact,none,1024,2,3,0.0123468,0.00015357647389275937,2.0960153383740288,0.5339495319742076,610651.1,1044881.5360514,0.0,0.0,0.0,0.0,K,3.0,,0.0123468,1.0
